# E (eV),Tr Ideal
6.255840,0.850484
6.265851,0.851023
6.275862,0.851563
6.285873,0.852103
6.295884,0.852644
6.305895,0.853184
6.315907,0.853704
6.325918,0.854206
6.335929,0.854707
6.345940,0.855191
6.355951,0.855665
6.365962,0.856139
6.375973,0.856614
6.385984,0.857057
6.395996,0.857496
6.406007,0.857936
6.416018,0.858375
6.426029,0.858815
6.436040,0.859255
6.446051,0.859691
6.456062,0.860099
6.466073,0.860507
6.476085,0.860916
6.486096,0.861324
6.496107,0.861733
6.506118,0.862142
6.516129,0.862542
6.526140,0.862922
6.536151,0.863303
6.546162,0.863684
6.556174,0.864066
6.566185,0.864445
6.576196,0.864804
6.586207,0.865149
6.596218,0.865478
6.606229,0.865808
6.616240,0.866137
6.626251,0.866467
6.636263,0.866796
6.646274,0.867126
6.656285,0.867456
6.666296,0.867786
6.676307,0.868110
6.686318,0.868409
6.696329,0.868709
6.706340,0.869008
6.716352,0.869307
6.726363,0.869607
6.736374,0.869907
6.746385,0.870206
6.756396,0.870506
6.766407,0.870806
6.776418,0.871084
6.786429,0.871357
6.796440,0.871629
6.806452,0.871902
6.816463,0.872174
6.826474,0.872447
6.836485,0.872720
6.846496,0.872993
6.856507,0.873249
6.866518,0.873499
6.876529,0.873729
6.886541,0.873960
6.896552,0.874191
6.906563,0.874422
6.916574,0.874652
6.926585,0.874883
6.936596,0.875114
6.946607,0.875345
6.956618,0.875576
6.966630,0.875794
6.976641,0.876002
6.986652,0.876210
6.996663,0.876419
7.006674,0.876627
7.016685,0.876835
7.026696,0.877043
7.036707,0.877252
7.046719,0.877460
7.056730,0.877669
7.066741,0.877861
7.076752,0.878048
7.086763,0.878235
7.096774,0.878423
7.106785,0.878610
7.116796,0.878797
7.126808,0.878985
7.136819,0.879173
7.146830,0.879360
7.156841,0.879548
7.166852,0.879719
7.176863,0.879887
7.186874,0.880055
7.196885,0.880216
7.206897,0.880370
7.216908,0.880525
7.226919,0.880680
7.236930,0.880835
7.246941,0.880990
7.256952,0.881145
7.266963,0.881286
7.276974,0.881422
7.286986,0.881558
7.296997,0.881694
7.307008,0.881830
7.317019,0.881966
7.327030,0.882102
7.337041,0.882238
7.347052,0.882374
7.357063,0.882510
7.367075,0.882637
7.377086,0.882755
7.387097,0.882872
7.397108,0.882990
7.407119,0.883107
7.417130,0.883225
7.427141,0.883343
7.437152,0.883460
7.447164,0.883578
7.457175,0.883696
7.467186,0.883811
7.477197,0.883911
7.487208,0.884011
7.497219,0.884111
7.507230,0.884211
7.517241,0.884311
7.527253,0.884411
7.537264,0.884511
7.547275,0.884611
7.557286,0.884711
7.567297,0.884807
7.577308,0.884888
7.587319,0.884969
7.597330,0.885050
7.607341,0.885131
7.617353,0.885213
7.627364,0.885294
7.637375,0.885375
7.647386,0.885456
7.657397,0.885537
7.667408,0.885618
7.677419,0.885689
7.687430,0.885751
7.697442,0.885812
7.707453,0.885874
7.717464,0.885935
7.727475,0.885997
7.737486,0.886058
7.747497,0.886120
7.757508,0.886182
7.767519,0.886243
7.777531,0.886305
7.787542,0.886351
7.797553,0.886392
7.807564,0.886432
7.817575,0.886473
7.827586,0.886513
7.837597,0.886552
7.847608,0.886592
7.857620,0.886632
7.867631,0.886671
7.877642,0.886711
7.887653,0.886751
7.897664,0.886775
7.907675,0.886795
7.917686,0.886814
7.927697,0.886834
7.937709,0.886853
7.947720,0.886872
7.957731,0.886892
7.967742,0.886911
7.977753,0.886923
7.987764,0.886923
7.997775,0.886924
8.007786,0.886924
8.017798,0.886924
8.027809,0.886924
8.037820,0.886924
8.047831,0.886925
8.057842,0.886925
8.067853,0.886904
8.077864,0.886883
8.087875,0.886862
8.097887,0.886841
8.107898,0.886820
8.117909,0.886799
8.127920,0.886778
8.137931,0.886757
8.147942,0.886724
8.157953,0.886680
8.167964,0.886635
8.177976,0.886590
8.187987,0.886545
8.197998,0.886500
8.208009,0.886455
8.218020,0.886410
8.228031,0.886365
8.238042,0.886295
8.248053,0.886223
8.258065,0.886151
8.268076,0.886079
8.278087,0.886006
8.288098,0.885934
8.298109,0.885862
8.308120,0.885790
8.318131,0.885711
8.328142,0.885607
8.338154,0.885503
8.348165,0.885399
8.358176,0.885295
8.368187,0.885191
8.378198,0.885088
8.388209,0.884984
8.398220,0.884889
8.408231,0.884781
8.418242,0.884651
8.428254,0.884521
8.438265,0.884391
8.448276,0.884261
8.458287,0.884131
8.468298,0.884001
8.478309,0.883871
8.488320,0.883741
8.498331,0.883591
8.508343,0.883425
8.518354,0.883259
8.528365,0.883093
8.538376,0.882928
8.548387,0.882762
8.558398,0.882576
8.568409,0.882377
8.578420,0.882178
8.588432,0.881979
8.598443,0.881780
8.608454,0.881581
8.618465,0.881360
8.628476,0.881124
8.638487,0.880888
8.648498,0.880652
8.658509,0.880417
8.668521,0.880181
8.678532,0.879922
8.688543,0.879644
8.698554,0.879380
8.708565,0.879117
8.718576,0.878854
8.728587,0.878590
8.738598,0.878304
8.748610,0.877989
8.758621,0.877675
8.768632,0.877361
8.778643,0.877047
8.788654,0.876734
8.798665,0.876400
8.808676,0.876027
8.818687,0.875654
8.828699,0.875281
8.838710,0.874909
8.848721,0.874536
8.858732,0.874154
8.868743,0.873722
8.878754,0.873291
8.888765,0.872860
8.898776,0.872428
8.908788,0.871968
8.918799,0.871479
8.928810,0.870990
8.938821,0.870508
8.948832,0.870037
8.958843,0.869511
8.968854,0.868975
8.978865,0.868438
8.988877,0.867902
8.998888,0.867359
9.008899,0.866747
9.018910,0.866135
9.028921,0.865523
9.038932,0.864912
9.048943,0.864269
9.058954,0.863570
9.068966,0.862873
9.078977,0.862175
9.088988,0.861479
9.098999,0.860719
9.109010,0.859921
9.119021,0.859123
9.129032,0.858335
9.139043,0.857561
9.149055,0.856690
9.159066,0.855798
9.169077,0.854907
9.179088,0.854017
9.189099,0.853126
9.199110,0.852123
9.209121,0.851122
9.219132,0.850122
9.229143,0.849039
9.239155,0.847937
9.249166,0.846836
9.259177,0.845671
9.269188,0.844455
9.279199,0.843241
9.289210,0.841988
9.299221,0.840646
9.309232,0.839307
9.319244,0.837959
9.329255,0.836499
9.339266,0.835041
9.349277,0.833586
9.359288,0.831998
9.369299,0.830380
9.379310,0.828765
9.389321,0.827054
9.399333,0.825255
9.409344,0.823459
9.419355,0.821617
9.429366,0.819612
9.439377,0.817611
9.449388,0.815616
9.459399,0.813408
9.469410,0.811193
9.479422,0.808983
9.489433,0.806621
9.499444,0.804172
9.509455,0.801699
9.519466,0.799018
9.529477,0.796347
9.539488,0.793512
9.549499,0.790586
9.559511,0.787631
9.569522,0.784416
9.579533,0.781215
9.589544,0.777817
9.599555,0.774309
9.609566,0.770773
9.619577,0.766900
9.629588,0.763047
9.639600,0.758954
9.649611,0.754691
9.659622,0.750434
9.669633,0.745703
9.679644,0.741002
9.689655,0.736036
9.699666,0.730811
9.709677,0.725623
9.719689,0.719938
9.729700,0.714144
9.739711,0.708043
9.749722,0.701575
9.759733,0.694942
9.769744,0.688146
9.779755,0.680923
9.789766,0.673283
9.799778,0.665435
9.809789,0.657143
9.819800,0.648446
9.829811,0.639518
9.839822,0.629972
9.849833,0.620009
9.859844,0.609784
9.869855,0.598826
9.879867,0.587375
9.889878,0.575422
9.899889,0.562920
9.909900,0.549907
9.919911,0.535999
9.929922,0.521483
9.939933,0.506306
9.949944,0.490491
9.959956,0.474033
9.969967,0.456346
9.979978,0.438261
9.989989,0.419236
10.000000,0.399350
10.010001,0.378684
10.020002,0.357180
10.030003,0.334855
10.040004,0.311666
10.050006,0.287510
10.060007,0.262992
10.070008,0.237869
10.080009,0.212410
10.090010,0.186529
10.100011,0.161006
10.110012,0.135624
10.120013,0.111079
10.130014,0.088013
10.140016,0.066733
10.150017,0.047743
10.160018,0.031869
10.170019,0.019518
10.180020,0.010632
10.190021,0.004993
10.200022,0.001959
10.210023,0.000615
10.220024,0.000148
10.230026,0.000026
10.240027,0.000003
10.250028,0.000000
10.260029,0.000000
10.270030,0.000000
10.280031,0.000000
10.290032,0.000000
10.300033,0.000000
10.310034,0.000000
10.320036,0.000000
10.330037,0.000000
10.340038,0.000000
10.350039,0.000000
10.360040,0.000000
10.370041,0.000000
10.380042,0.000000
10.390043,0.000000
10.400044,0.000000
10.410046,0.000000
10.420047,0.000000
10.430048,0.000000
10.440049,0.000000
10.450050,0.000000
10.460051,0.000000
10.470052,0.000000
10.480053,0.000002
10.490054,0.000019
10.500056,0.000108
10.510057,0.000447
10.520058,0.001445
10.530059,0.003716
10.540060,0.008026
10.550061,0.014941
10.560062,0.024829
10.570063,0.037669
10.580064,0.053145
10.590066,0.071029
10.600067,0.090484
10.610068,0.111485
10.620069,0.133403
10.630070,0.155759
10.640071,0.178488
10.650072,0.201416
10.660073,0.224142
10.670074,0.246370
10.680076,0.268183
10.690077,0.289542
10.700078,0.310491
10.710079,0.330789
10.720080,0.350141
10.730081,0.368843
10.740082,0.387049
10.750083,0.404577
10.760084,0.421353
10.770086,0.437489
10.780087,0.453014
10.790088,0.467908
10.800089,0.482029
10.810090,0.495636
10.820091,0.508936
10.830092,0.521424
10.840093,0.533584
10.850094,0.545020
10.860096,0.556052
10.870097,0.566706
10.880098,0.576968
10.890099,0.586650
10.900100,0.595941
10.910101,0.604967
10.920102,0.613440
10.930103,0.621960
10.940104,0.629774
10.950106,0.637435
10.960107,0.644818
10.970108,0.651882
10.980109,0.658734
10.990110,0.665197
11.000111,0.671582
11.010112,0.677616
11.020113,0.683452
11.030114,0.689110
11.040116,0.694443
11.050117,0.699679
11.060118,0.704823
11.070119,0.709617
11.080120,0.714343
11.090121,0.718881
11.100122,0.723335
11.110123,0.727584
11.120124,0.731642
11.130126,0.735513
11.140127,0.739405
11.150128,0.743143
11.160129,0.746713
11.170130,0.750261
11.180131,0.753608
11.190132,0.756830
11.200133,0.760067
11.210134,0.763103
11.220136,0.766017
11.230137,0.768942
11.240138,0.771707
11.250139,0.774402
11.260140,0.777107
11.270141,0.779672
11.280142,0.782186
11.290143,0.784632
11.300144,0.786924
11.310146,0.789179
11.320147,0.791440
11.330148,0.793581
11.340149,0.795691
11.350150,0.797806
11.360151,0.799799
11.370152,0.801721
11.380153,0.803632
11.390154,0.805434
11.400156,0.807218
11.410157,0.809007
11.420158,0.810696
11.430159,0.812368
11.440160,0.814044
11.450161,0.815568
11.460162,0.817062
11.470163,0.818558
11.480164,0.820058
11.490166,0.821458
11.500167,0.822836
11.510168,0.824217
11.520169,0.825600
11.530170,0.826891
11.540171,0.828161
11.550172,0.829433
11.560173,0.830706
11.570174,0.831879
11.580176,0.833006
11.590177,0.834134
11.600178,0.835263
11.610179,0.836335
11.620180,0.837380
11.630181,0.838426
11.640182,0.839473
11.650183,0.840474
11.660184,0.841446
11.670186,0.842419
11.680187,0.843393
11.690188,0.844313
11.700189,0.845175
11.710190,0.846038
11.720191,0.846902
11.730192,0.847739
11.740193,0.848542
11.750194,0.849346
11.760196,0.850151
11.770197,0.850938
11.780198,0.851688
11.790199,0.852438
11.800200,0.853189
11.810201,0.853932
11.820202,0.854635
11.830203,0.855338
11.840204,0.856042
11.850206,0.856741
11.860207,0.857354
11.870208,0.857967
11.880209,0.858580
11.890210,0.859194
11.900211,0.859809
11.910212,0.860424
11.920213,0.860991
11.930214,0.861546
11.940216,0.862102
11.950217,0.862658
11.960218,0.863214
11.970219,0.863771
11.980220,0.864301
11.990221,0.864806
12.000222,0.865311
12.010223,0.865816
12.020224,0.866315
12.030226,0.866793
12.040227,0.867260
12.050228,0.867692
12.060229,0.868124
12.070230,0.868557
12.080231,0.868990
12.090232,0.869423
12.100233,0.869856
12.110234,0.870251
12.120236,0.870640
12.130237,0.871030
12.140238,0.871420
12.150239,0.871811
12.160240,0.872201
12.170241,0.872572
12.180242,0.872925
12.190243,0.873277
12.200244,0.873630
12.210246,0.873983
12.220247,0.874336
12.230248,0.874685
12.240249,0.875003
12.250250,0.875321
12.260251,0.875639
12.270252,0.875958
12.280253,0.876262
12.290254,0.876561
12.300256,0.876838
12.310257,0.877103
12.320258,0.877369
12.330259,0.877634
12.340260,0.877900
12.350261,0.878166
12.360262,0.878425
12.370263,0.878658
12.380264,0.878891
12.390266,0.879124
12.400267,0.879357
12.410268,0.879591
12.420269,0.879824
12.430270,0.880035
12.440271,0.880235
12.450272,0.880436
12.460273,0.880637
12.470274,0.880837
12.480276,0.881038
12.490277,0.881235
12.500278,0.881402
12.510279,0.881570
12.520280,0.881738
12.530281,0.881906
12.540282,0.882074
12.550283,0.882242
12.560284,0.882393
12.570286,0.882531
12.580287,0.882670
12.590288,0.882808
12.600289,0.882946
12.610290,0.883059
12.620291,0.883165
12.630292,0.883271
12.640293,0.883377
12.650294,0.883483
12.660296,0.883590
12.670297,0.883690
12.680298,0.883755
12.690299,0.883821
12.700300,0.883886
12.710301,0.883952
12.720302,0.884018
12.730303,0.884083
12.740304,0.884131
12.750306,0.884159
12.760307,0.884187
12.770308,0.884216
12.780309,0.884243
12.790310,0.884238
12.800311,0.884233
12.810312,0.884227
12.820313,0.884222
12.830314,0.884197
12.840316,0.884153
12.850317,0.884110
12.860318,0.884067
12.870319,0.884022
12.880320,0.883935
12.890321,0.883849
12.900322,0.883775
12.910323,0.883701
12.920324,0.883602
12.930326,0.883477
12.940327,0.883352
12.950328,0.883228
12.960329,0.883103
12.970330,0.882919
12.980331,0.882734
12.990332,0.882550
13.000333,0.882366
13.010334,0.882155
13.020336,0.881909
13.030337,0.881664
13.040338,0.881419
13.050339,0.881112
13.060340,0.880805
13.070341,0.880498
13.080342,0.880171
13.090343,0.879818
13.100344,0.879466
13.110346,0.879101
13.120347,0.878666
13.130348,0.878232
13.140349,0.877798
13.150350,0.877294
13.160351,0.876763
13.170352,0.876233
13.180353,0.875680
13.190354,0.875055
13.200356,0.874431
13.210357,0.873743
13.220358,0.873066
13.230359,0.872330
13.240360,0.871558
13.250361,0.870753
13.260362,0.869871
13.270363,0.868989
13.280364,0.867982
13.290366,0.866973
13.300367,0.865868
13.310368,0.864714
13.320369,0.863507
13.330370,0.862193
13.340371,0.860847
13.350372,0.859402
13.360373,0.857953
13.370374,0.856278
13.380376,0.854606
13.390377,0.852788
13.400378,0.850891
13.410379,0.848837
13.420380,0.846674
13.430381,0.844402
13.440382,0.841893
13.450383,0.839273
13.460384,0.836471
13.470386,0.833402
13.480387,0.830217
13.490388,0.826830
13.500389,0.823097
13.510390,0.819085
13.520391,0.814800
13.530392,0.810204
13.540393,0.805178
13.550394,0.799757
13.560396,0.793942
13.570397,0.787653
13.580398,0.780687
13.590399,0.773124
13.600400,0.764825
13.610401,0.755703
13.620402,0.745827
13.630403,0.734830
13.640404,0.722593
13.650406,0.708902
13.660407,0.693788
13.670408,0.676498
13.680409,0.656909
13.690410,0.635030
13.700411,0.609805
13.710412,0.580827
13.720413,0.547455
13.730414,0.509368
13.740416,0.465263
13.750417,0.416253
13.760418,0.362087
13.770419,0.304628
13.780420,0.244960
13.790421,0.187244
13.800422,0.135000
13.810423,0.090648
13.820424,0.056390
13.830426,0.032312
13.840427,0.017047
13.850428,0.008341
13.860429,0.003795
13.870430,0.001648
13.880431,0.000699
13.890432,0.000296
13.900433,0.000132
13.910434,0.000064
13.920436,0.000034
13.930437,0.000022
13.940438,0.000016
13.950439,0.000015
13.960440,0.000016
13.970441,0.000022
13.980442,0.000035
13.990443,0.000064
14.000444,0.000134
14.010446,0.000299
14.020447,0.000697
14.030448,0.001622
14.040449,0.003696
14.050450,0.008016
14.060451,0.016237
14.070452,0.030491
14.080453,0.052785
14.090454,0.084629
14.100456,0.125157
14.110457,0.173509
14.120458,0.226985
14.130459,0.282377
14.140460,0.336314
14.150461,0.387435
14.160462,0.434045
14.170463,0.476442
14.180464,0.513794
14.190466,0.546602
14.200467,0.575469
14.210468,0.600571
14.220469,0.623126
14.230470,0.642989
14.240471,0.660878
14.250472,0.676712
14.260473,0.690945
14.270474,0.703906
14.280476,0.715654
14.290477,0.726468
14.300478,0.736346
14.310479,0.745289
14.320480,0.753571
14.330481,0.761265
14.340482,0.768459
14.350483,0.774975
14.360484,0.781082
14.370486,0.786799
14.380487,0.792163
14.390488,0.797200
14.400489,0.801746
14.410490,0.806098
14.420491,0.810247
14.430492,0.814088
14.440493,0.817786
14.450494,0.821211
14.460496,0.824393
14.470497,0.827474
14.480498,0.830401
14.490499,0.833140
14.500500,0.835762
14.510501,0.838202
14.520502,0.840522
14.530503,0.842783
14.540505,0.844904
14.550506,0.846985
14.560507,0.848926
14.570508,0.850795
14.580509,0.852513
14.590510,0.854220
14.600511,0.855813
14.610512,0.857382
14.620513,0.858857
14.630515,0.860298
14.640516,0.861661
14.650517,0.863013
14.660518,0.864272
14.670519,0.865467
14.680520,0.866641
14.690521,0.867742
14.700522,0.868845
14.710523,0.869892
14.720525,0.870910
14.730526,0.871923
14.740527,0.872858
14.750528,0.873794
14.760529,0.874661
14.770530,0.875487
14.780531,0.876315
14.790532,0.877090
14.800533,0.877860
14.810535,0.878610
14.820536,0.879312
14.830537,0.880016
14.840538,0.880719
14.850539,0.881394
14.860540,0.882030
14.870541,0.882666
14.880542,0.883303
14.890543,0.883909
14.900545,0.884488
14.910546,0.885058
14.920547,0.885612
14.930548,0.886134
14.940549,0.886636
14.950550,0.887139
14.960551,0.887641
14.970552,0.888117
